Nombre de la ciudad: Kabul, nombre del pais: Afghanistan, Poblacion ciudad: 1851912
Nombre de la ciudad: Qandahar, nombre del pais: Afghanistan, Poblacion ciudad: 247095
Nombre de la ciudad: Herat, nombre del pais: Afghanistan, Poblacion ciudad: 194346
Nombre de la ciudad: Mazar-e-Sharif, nombre del pais: Afghanistan, Poblacion ciudad: 132963
Nombre de la ciudad: Dubai, nombre del pais: United Arab Emirates, Poblacion ciudad: 696215
Nombre de la ciudad: Abu Dhabi, nombre del pais: United Arab Emirates, Poblacion ciudad: 414801
Nombre de la ciudad: Sharja, nombre del pais: United Arab Emirates, Poblacion ciudad: 333025
Nombre de la ciudad: al-Ayn, nombre del pais: United Arab Emirates, Poblacion ciudad: 235098
Nombre de la ciudad: Ajman, nombre del pais: United Arab Emirates, Poblacion ciudad: 119015
Nombre de la ciudad: Yerevan, nombre del pais: Armenia, Poblacion ciudad: 1299147
Nombre de la ciudad: Gjumri, nombre del pais: Armenia, Poblacion ciudad: 220252
Nombre de la ciudad: Vanadzor, nombre del pais: Armenia, Poblacion ciudad: 179677
Nombre de la ciudad: Baku, nombre del pais: Azerbaijan, Poblacion ciudad: 1860027
Nombre de la ciudad: Gäncä, nombre del pais: Azerbaijan, Poblacion ciudad: 311391
Nombre de la ciudad: Sumqayit, nombre del pais: Azerbaijan, Poblacion ciudad: 294433
Nombre de la ciudad: Mingäçevir, nombre del pais: Azerbaijan, Poblacion ciudad: 97693
Nombre de la ciudad: Dhaka, nombre del pais: Bangladesh, Poblacion ciudad: 3758809
Nombre de la ciudad: Chittagong, nombre del pais: Bangladesh, Poblacion ciudad: 1449131
Nombre de la ciudad: Khulna, nombre del pais: Bangladesh, Poblacion ciudad: 690138
Nombre de la ciudad: Rajshahi, nombre del pais: Bangladesh, Poblacion ciudad: 305935
Nombre de la ciudad: Narayanganj, nombre del pais: Bangladesh, Poblacion ciudad: 210299
Nombre de la ciudad: Rangpur, nombre del pais: Bangladesh, Poblacion ciudad: 199129
Nombre de la ciudad: Mymensingh, nombre del pais: Bangladesh, Poblacion ciudad: 196336
Nombre de la ciudad: Barisal, nombre del pais: Bangladesh, Poblacion ciudad: 177108
Nombre de la ciudad: Tungi, nombre del pais: Bangladesh, Poblacion ciudad: 175517
Nombre de la ciudad: Jessore, nombre del pais: Bangladesh, Poblacion ciudad: 145354
Nombre de la ciudad: Comilla, nombre del pais: Bangladesh, Poblacion ciudad: 140779
Nombre de la ciudad: Nawabganj, nombre del pais: Bangladesh, Poblacion ciudad: 135851
Nombre de la ciudad: Dinajpur, nombre del pais: Bangladesh, Poblacion ciudad: 132978
Nombre de la ciudad: Bogra, nombre del pais: Bangladesh, Poblacion ciudad: 125024
Nombre de la ciudad: Sylhet, nombre del pais: Bangladesh, Poblacion ciudad: 122137
Nombre de la ciudad: Brahmanbaria, nombre del pais: Bangladesh, Poblacion ciudad: 113436
Nombre de la ciudad: Tangail, nombre del pais: Bangladesh, Poblacion ciudad: 110286
Nombre de la ciudad: Jamalpur, nombre del pais: Bangladesh, Poblacion ciudad: 107739
Nombre de la ciudad: Pabna, nombre del pais: Bangladesh, Poblacion ciudad: 107448
Nombre de la ciudad: Naogaon, nombre del pais: Bangladesh, Poblacion ciudad: 105356
Nombre de la ciudad: Sirajganj, nombre del pais: Bangladesh, Poblacion ciudad: 103695
Nombre de la ciudad: Narsinghdi, nombre del pais: Bangladesh, Poblacion ciudad: 102314
Nombre de la ciudad: Saidpur, nombre del pais: Bangladesh, Poblacion ciudad: 100686
Nombre de la ciudad: Gazipur, nombre del pais: Bangladesh, Poblacion ciudad: 100624
Nombre de la ciudad: al-Manama, nombre del pais: Bahrain, Poblacion ciudad: 153979
Nombre de la ciudad: Bandar Seri Begawan, nombre del pais: Brunei, Poblacion ciudad: 22351
Nombre de la ciudad: Thimphu, nombre del pais: Bhutan, Poblacion ciudad: 22888
Nombre de la ciudad: Shanghai, nombre del pais: China, Poblacion ciudad: 10088030
Nombre de la ciudad: Peking, nombre del pais: China, Poblacion ciudad: 7773868
Nombre de la ciudad: Chongqing, nombre del pais: China, Poblacion ciudad: 6608204
Nombre de la ciudad: Tianjin, nombre del pais: China, Poblacion ciudad: 5500386
Nombre de la ciudad: Wuhan, nombre del pais: China, Poblacion ciudad: 4520121
Nombre de la ciudad: Harbin, nombre del pais: China, Poblacion ciudad: 4463107
Nombre de la ciudad: Shenyang, nombre del pais: China, Poblacion ciudad: 4437514
Nombre de la ciudad: Kanton [Guangzhou], nombre del pais: China, Poblacion ciudad: 4428254
Nombre de la ciudad: Chengdu, nombre del pais: China, Poblacion ciudad: 3497304
Nombre de la ciudad: Nanking [Nanjing], nombre del pais: China, Poblacion ciudad: 2986260
Nombre de la ciudad: Changchun, nombre del pais: China, Poblacion ciudad: 2925604
Nombre de la ciudad: Xi´an, nombre del pais: China, Poblacion ciudad: 2872960
Nombre de la ciudad: Dalian, nombre del pais: China, Poblacion ciudad: 2805958
Nombre de la ciudad: Qingdao, nombre del pais: China, Poblacion ciudad: 2700878
Nombre de la ciudad: Jinan, nombre del pais: China, Poblacion ciudad: 2370135
Nombre de la ciudad: Hangzhou, nombre del pais: China, Poblacion ciudad: 2278996
Nombre de la ciudad: Zhengzhou, nombre del pais: China, Poblacion ciudad: 2192330
Nombre de la ciudad: Shijiazhuang, nombre del pais: China, Poblacion ciudad: 2123976
Nombre de la ciudad: Taiyuan, nombre del pais: China, Poblacion ciudad: 2047923
Nombre de la ciudad: Kunming, nombre del pais: China, Poblacion ciudad: 1903411
Nombre de la ciudad: Changsha, nombre del pais: China, Poblacion ciudad: 1882915
Nombre de la ciudad: Nanchang, nombre del pais: China, Poblacion ciudad: 1759940
Nombre de la ciudad: Fuzhou, nombre del pais: China, Poblacion ciudad: 1658189
Nombre de la ciudad: Lanzhou, nombre del pais: China, Poblacion ciudad: 1629058
Nombre de la ciudad: Guiyang, nombre del pais: China, Poblacion ciudad: 1524394
Nombre de la ciudad: Ningbo, nombre del pais: China, Poblacion ciudad: 1426596
Nombre de la ciudad: Hefei, nombre del pais: China, Poblacion ciudad: 1424411
Nombre de la ciudad: Urumtši [Ürümqi], nombre del pais: China, Poblacion ciudad: 1363028
Nombre de la ciudad: Anshan, nombre del pais: China, Poblacion ciudad: 1248480
Nombre de la ciudad: Fushun, nombre del pais: China, Poblacion ciudad: 1248480
Nombre de la ciudad: Nanning, nombre del pais: China, Poblacion ciudad: 1208736
Nombre de la ciudad: Zibo, nombre del pais: China, Poblacion ciudad: 1186056
Nombre de la ciudad: Qiqihar, nombre del pais: China, Poblacion ciudad: 1113228
Nombre de la ciudad: Jilin, nombre del pais: China, Poblacion ciudad: 1082016
Nombre de la ciudad: Tangshan, nombre del pais: China, Poblacion ciudad: 1082016
Nombre de la ciudad: Baotou, nombre del pais: China, Poblacion ciudad: 1019592
Nombre de la ciudad: Shenzhen, nombre del pais: China, Poblacion ciudad: 988900
Nombre de la ciudad: Hohhot, nombre del pais: China, Poblacion ciudad: 953734
Nombre de la ciudad: Handan, nombre del pais: China, Poblacion ciudad: 873936
Nombre de la ciudad: Wuxi, nombre del pais: China, Poblacion ciudad: 863532
Nombre de la ciudad: Xuzhou, nombre del pais: China, Poblacion ciudad: 842724
Nombre de la ciudad: Datong, nombre del pais: China, Poblacion ciudad: 832320
Nombre de la ciudad: Yichun, nombre del pais: China, Poblacion ciudad: 832320
Nombre de la ciudad: Benxi, nombre del pais: China, Poblacion ciudad: 801108
Nombre de la ciudad: Luoyang, nombre del pais: China, Poblacion ciudad: 790704
Nombre de la ciudad: Suzhou, nombre del pais: China, Poblacion ciudad: 738684
Nombre de la ciudad: Xining, nombre del pais: China, Poblacion ciudad: 728488
Nombre de la ciudad: Huainan, nombre del pais: China, Poblacion ciudad: 728280
Nombre de la ciudad: Jixi, nombre del pais: China, Poblacion ciudad: 711513
Nombre de la ciudad: Daqing, nombre del pais: China, Poblacion ciudad: 686664
Nombre de la ciudad: Fuxin, nombre del pais: China, Poblacion ciudad: 665856
Nombre de la ciudad: Amoy [Xiamen], nombre del pais: China, Poblacion ciudad: 652851
Nombre de la ciudad: Liuzhou, nombre del pais: China, Poblacion ciudad: 634644
Nombre de la ciudad: Shantou, nombre del pais: China, Poblacion ciudad: 603432
Nombre de la ciudad: Jinzhou, nombre del pais: China, Poblacion ciudad: 593028
Nombre de la ciudad: Mudanjiang, nombre del pais: China, Poblacion ciudad: 593028
Nombre de la ciudad: Yinchuan, nombre del pais: China, Poblacion ciudad: 566497
Nombre de la ciudad: Changzhou, nombre del pais: China, Poblacion ciudad: 551412
Nombre de la ciudad: Zhangjiakou, nombre del pais: China, Poblacion ciudad: 551412
Nombre de la ciudad: Dandong, nombre del pais: China, Poblacion ciudad: 541008
Nombre de la ciudad: Hegang, nombre del pais: China, Poblacion ciudad: 541008
Nombre de la ciudad: Kaifeng, nombre del pais: China, Poblacion ciudad: 530604
Nombre de la ciudad: Jiamusi, nombre del pais: China, Poblacion ciudad: 513342
Nombre de la ciudad: Liaoyang, nombre del pais: China, Poblacion ciudad: 512458
Nombre de la ciudad: Hengyang, nombre del pais: China, Poblacion ciudad: 506827
Nombre de la ciudad: Baoding, nombre del pais: China, Poblacion ciudad: 502674
Nombre de la ciudad: Hunjiang, nombre del pais: China, Poblacion ciudad: 501516
Nombre de la ciudad: Xinxiang, nombre del pais: China, Poblacion ciudad: 492901
Nombre de la ciudad: Huangshi, nombre del pais: China, Poblacion ciudad: 476088
Nombre de la ciudad: Haikou, nombre del pais: China, Poblacion ciudad: 472653
Nombre de la ciudad: Yantai, nombre del pais: China, Poblacion ciudad: 470392
Nombre de la ciudad: Bengbu, nombre del pais: China, Poblacion ciudad: 467393
Nombre de la ciudad: Xiangtan, nombre del pais: China, Poblacion ciudad: 459823
Nombre de la ciudad: Weifang, nombre del pais: China, Poblacion ciudad: 445833
Nombre de la ciudad: Wuhu, nombre del pais: China, Poblacion ciudad: 442939
Nombre de la ciudad: Pingxiang, nombre del pais: China, Poblacion ciudad: 442771
Nombre de la ciudad: Yingkou, nombre del pais: China, Poblacion ciudad: 438620
Nombre de la ciudad: Anyang, nombre del pais: China, Poblacion ciudad: 437312
Nombre de la ciudad: Panzhihua, nombre del pais: China, Poblacion ciudad: 432250
Nombre de la ciudad: Pingdingshan, nombre del pais: China, Poblacion ciudad: 427369
Nombre de la ciudad: Xiangfan, nombre del pais: China, Poblacion ciudad: 426987
Nombre de la ciudad: Zhuzhou, nombre del pais: China, Poblacion ciudad: 426484
Nombre de la ciudad: Jiaozuo, nombre del pais: China, Poblacion ciudad: 425627
Nombre de la ciudad: Wenzhou, nombre del pais: China, Poblacion ciudad: 418106
Nombre de la ciudad: Zhangjiang, nombre del pais: China, Poblacion ciudad: 417196
Nombre de la ciudad: Zigong, nombre del pais: China, Poblacion ciudad: 409067
Nombre de la ciudad: Shuangyashan, nombre del pais: China, Poblacion ciudad: 401678
Nombre de la ciudad: Zaozhuang, nombre del pais: China, Poblacion ciudad: 396231
Nombre de la ciudad: Yakeshi, nombre del pais: China, Poblacion ciudad: 393134
Nombre de la ciudad: Yichang, nombre del pais: China, Poblacion ciudad: 386613
Nombre de la ciudad: Zhenjiang, nombre del pais: China, Poblacion ciudad: 383195
Nombre de la ciudad: Huaibei, nombre del pais: China, Poblacion ciudad: 381356
Nombre de la ciudad: Qinhuangdao, nombre del pais: China, Poblacion ciudad: 379716
Nombre de la ciudad: Guilin, nombre del pais: China, Poblacion ciudad: 378840
Nombre de la ciudad: Liupanshui, nombre del pais: China, Poblacion ciudad: 378657
Nombre de la ciudad: Panjin, nombre del pais: China, Poblacion ciudad: 377428
Nombre de la ciudad: Yangquan, nombre del pais: China, Poblacion ciudad: 376903
Nombre de la ciudad: Jinxi, nombre del pais: China, Poblacion ciudad: 371476
Nombre de la ciudad: Liaoyuan, nombre del pais: China, Poblacion ciudad: 368447
Nombre de la ciudad: Lianyungang, nombre del pais: China, Poblacion ciudad: 368445
Nombre de la ciudad: Xianyang, nombre del pais: China, Poblacion ciudad: 366350
Nombre de la ciudad: Tai´an, nombre del pais: China, Poblacion ciudad: 364863
Nombre de la ciudad: Chifeng, nombre del pais: China, Poblacion ciudad: 364219
Nombre de la ciudad: Shaoguan, nombre del pais: China, Poblacion ciudad: 364183
Nombre de la ciudad: Nantong, nombre del pais: China, Poblacion ciudad: 357211
Nombre de la ciudad: Leshan, nombre del pais: China, Poblacion ciudad: 354909
Nombre de la ciudad: Baoji, nombre del pais: China, Poblacion ciudad: 351410
Nombre de la ciudad: Linyi, nombre del pais: China, Poblacion ciudad: 337838
Nombre de la ciudad: Tonghua, nombre del pais: China, Poblacion ciudad: 337713
Nombre de la ciudad: Siping, nombre del pais: China, Poblacion ciudad: 330038
Nombre de la ciudad: Changzhi, nombre del pais: China, Poblacion ciudad: 329955
Nombre de la ciudad: Tengzhou, nombre del pais: China, Poblacion ciudad: 327811
Nombre de la ciudad: Chaozhou, nombre del pais: China, Poblacion ciudad: 326132
Nombre de la ciudad: Yangzhou, nombre del pais: China, Poblacion ciudad: 325531
Nombre de la ciudad: Dongwan, nombre del pais: China, Poblacion ciudad: 321138
Nombre de la ciudad: Ma´anshan, nombre del pais: China, Poblacion ciudad: 317759
Nombre de la ciudad: Foshan, nombre del pais: China, Poblacion ciudad: 315407
Nombre de la ciudad: Yueyang, nombre del pais: China, Poblacion ciudad: 315033
Nombre de la ciudad: Xingtai, nombre del pais: China, Poblacion ciudad: 315020
Nombre de la ciudad: Changde, nombre del pais: China, Poblacion ciudad: 313447
Nombre de la ciudad: Shihezi, nombre del pais: China, Poblacion ciudad: 311782
Nombre de la ciudad: Yancheng, nombre del pais: China, Poblacion ciudad: 308822
Nombre de la ciudad: Jiujiang, nombre del pais: China, Poblacion ciudad: 302950
Nombre de la ciudad: Dongying, nombre del pais: China, Poblacion ciudad: 293109
Nombre de la ciudad: Shashi, nombre del pais: China, Poblacion ciudad: 292718
Nombre de la ciudad: Xintai, nombre del pais: China, Poblacion ciudad: 292609
Nombre de la ciudad: Jingdezhen, nombre del pais: China, Poblacion ciudad: 292542
Nombre de la ciudad: Tongchuan, nombre del pais: China, Poblacion ciudad: 291995
Nombre de la ciudad: Zhongshan, nombre del pais: China, Poblacion ciudad: 290093
Nombre de la ciudad: Shiyan, nombre del pais: China, Poblacion ciudad: 284846
Nombre de la ciudad: Tieli, nombre del pais: China, Poblacion ciudad: 276415
Nombre de la ciudad: Jining, nombre del pais: China, Poblacion ciudad: 275963
Nombre de la ciudad: Wuhai, nombre del pais: China, Poblacion ciudad: 274749
Nombre de la ciudad: Mianyang, nombre del pais: China, Poblacion ciudad: 273569
Nombre de la ciudad: Luzhou, nombre del pais: China, Poblacion ciudad: 273511
Nombre de la ciudad: Zunyi, nombre del pais: China, Poblacion ciudad: 272440
Nombre de la ciudad: Shizuishan, nombre del pais: China, Poblacion ciudad: 268279
Nombre de la ciudad: Neijiang, nombre del pais: China, Poblacion ciudad: 266354
Nombre de la ciudad: Tongliao, nombre del pais: China, Poblacion ciudad: 265435
Nombre de la ciudad: Tieling, nombre del pais: China, Poblacion ciudad: 265136
Nombre de la ciudad: Wafangdian, nombre del pais: China, Poblacion ciudad: 261902
Nombre de la ciudad: Anqing, nombre del pais: China, Poblacion ciudad: 260846
Nombre de la ciudad: Shaoyang, nombre del pais: China, Poblacion ciudad: 257214
